                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                0.10505,               0.098857,                0.03804,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.10646,               0.077381,               0.031125,                      0,                 0.0802,                 0.0022,                 0.0022
                      1,                0.10205,               0.077345,               0.036242,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.1024,               0.070827,               0.033579,                      0,               0.059444,              0.0044443,              0.0044443
                      2,                0.10442,               0.066076,               0.037832,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.10321,               0.072374,               0.030415,                      0,               0.038632,              0.0066317,              0.0066317
                      3,               0.096361,                0.06371,               0.034193,                      0,             0.00025641,               0.012987,             0.00013011,             2.6022e-05,             0.00012821,              0.0064935,             6.4692e-05,             1.2938e-05,                0.10053,               0.066487,               0.029977,                      0,               0.017762,              0.0087622,              0.0087622
                      4,               0.094266,               0.072463,               0.031353,                      0,             0.00025641,               0.012987,             0.00013576,             4.0678e-05,             0.00012821,              0.0064935,              6.557e-05,              6.557e-06,               0.096171,                0.10162,               0.031207,                      0,               0.009505,               0.009505,               0.009505
                      5,               0.097483,                0.06962,                0.03143,                      0,             0.00064103,               0.032468,             0.00033417,             5.9914e-05,             0.00064103,               0.032468,             0.00033426,             7.3183e-05,               0.093469,               0.070573,               0.030396,                      0,               0.009505,               0.009505,               0.009505
                      6,               0.099883,               0.061062,               0.035061,                      0,              0.0064103,                0.32468,              0.0058698,              0.0012868,              0.0053846,                0.27273,              0.0050828,              0.0011075,                 0.0947,               0.055084,               0.029647,                      0,              0.0093813,              0.0093813,              0.0093813
                      7,               0.086089,               0.048743,               0.030297,                      0,              0.0033333,                0.16883,              0.0029778,             0.00065934,              0.0030769,                0.15584,              0.0032689,             0.00060556,                0.10349,               0.064103,               0.023149,                      0,              0.0092575,              0.0092575,              0.0092575
                      8,               0.088581,               0.058749,               0.026965,                      0,                  0.005,                0.25325,              0.0055872,              0.0011226,                  0.005,                0.25325,              0.0048706,             0.00074494,               0.095497,               0.065498,               0.027664,                      0,              0.0091337,              0.0091337,              0.0091337
                      9,               0.093768,               0.055106,                0.03106,                      0,              0.0091026,                0.46104,               0.019399,              0.0045139,              0.0088462,                0.44805,               0.019365,              0.0042283,                0.09301,               0.048856,               0.030365,                      0,                0.00901,                0.00901,                0.00901
